Build tool,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.netflix.graphql.dgs,graphql-dgs-spring-graphql-starter,11.1.0,true,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.netflix.graphql.dgs,dgs-starter,11.1.0,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.netflix.graphql.dgs,graphql-dgs-spring-graphql,11.1.0,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.netflix.graphql.dgs,graphql-dgs-reactive,11.1.0,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.netflix.graphql.dgs,graphql-dgs,11.1.0,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.netflix.graphql.dgs,graphql-error-types,11.1.0,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.netflix.graphql.dgs,graphql-dgs-platform,11.1.0,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.graphql-java,graphql-java,25.0,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.graphql-java,java-dataloader,6.0.0,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,org.jspecify,jspecify,1.0.0,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,org.reactivestreams,reactive-streams,1.0.4,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,org.jetbrains.kotlin,kotlin-stdlib,2.2.20,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,org.jetbrains,annotations,26.0.2-1,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,org.slf4j,slf4j-api,2.0.17,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.20.1,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.fasterxml.jackson.core,jackson-databind,2.20.1,false,
Gradle,io.moderne,moderne-organizations,0.20.0-dev.74+5f5ffe3,com.fasterxml.jackson.core,jackson-core,2.20.1,false,
